,ID,poem_author,language,original_poem,light_clean_poem,theme
7,8,Oleh Kotsarev,Ukrainian,"ПОВЕРНЕННЯ

Місто L – так близько до міста N,
і я знову тут,
і знову не розумію,
що тут, власне, роблю,
знову порожній двір ренесансовий з баштою
і потужні ворони над ними
горохом
зі сходу на захід, із півдня на північ,
чи які ще там бувають напрями.

Мені знову здається, що я не встигаю
за темпом мови
і не зміг розібрати колір очей напевно,
тільки фактуру шкіри,
тільки фактуру стін
і над містом старим повітря
у мить ліхтарів най-найперших.

Я тут можу звернути
на будь-яку вулицю,
попід кожну із цих глазурованих
цукерок-вивісок,
що оманливо видаються такими минущими,
та насправді все вічне
залишається вічним,
як і хворий, що йде вслід за мною
й хоче дзвонити з мого чужого тут телефона,
як і двері, уп’ятеро вищі від мене –
час їх уже неохоче
зачиняти
за
собою,
зачепивши когось рюкзаком ненавмисне.","ПОВЕРНЕННЯ  Місто L – так близько до міста N, і я знову тут, і знову не розумію, що тут, власне, роблю, знову порожній двір ренесансовий з баштою і потужні ворони над ними горохом зі сходу на захід, із півдня на північ, чи які ще там бувають напрями.  Мені знову здається, що я не встигаю за темпом мови і не зміг розібрати колір очей напевно, тільки фактуру шкіри, тільки фактуру стін і над містом старим повітря у мить ліхтарів най-найперших.  Я тут можу звернути на будь-яку вулицю, попід кожну із цих глазурованих цукерок-вивісок, що оманливо видаються такими минущими, та насправді все вічне залишається вічним, як і хворий, що йде вслід за мною й хоче дзвонити з мого чужого тут телефона, як і двері, уп’ятеро вищі від мене – час їх уже неохоче зачиняти за собою, зачепивши когось рюкзаком ненавмисне.","{'', 'city', 'return'}"
13,14,Tadeusz Chabrowski,Ukrainian,"Тадеуш Хабровський
Вуді Аллен каже
бо в злі часи живемо,
і психіатри в лікарні нерідко плутають дроти,
до яких нас підключено,
і найдужчі спортсмени мордуються нападами істерії;
і священика
неспроможного відрізнити парафіяльну секретарку
від двох яєць, зварених на м’яко,
викликають до єпископального суду за перелюб;
і астронавта, запрошеного на конференцію
туристичних аґенцій до Сан-Франциско,
готельна покоївка звинувачує
в домаганні її перевтомленої устриці;
та буває і ще більший скандал:
коли хакерам вдається підслухати розмову папи
з президентом Сполучених Штатів
про десятину, що її слід платити за душі
засуджених на вічні муки, яким
не було надано постійної прописки
на небі, й тоді в кожного громадянина
ніж озлоблення розкривається в кишені.
Tadeusz Chabrowski
Woody Allen twierdzi
że żyjemy w złych czasach,
często psychiatrzy w szpitalu plączą druty,
do których nas podłączają,
najzdrowsi atleci ulegają atakom histerii;
ksiądz katecheta,
który nie potrafi odróżnić parafialnej sekretarki
od dwóch jaj ugotowanych na miękko,
jest pozwany przed sąd biskupi za cudzołóstwo;
astronuta, który został zaproszony na konferencję
agencji turystycznych do San Francisco,
jest oskarżony przez hotelową sprzątaczkę
o molestowanie jej przemęczonej ostrygi;
bywają jeszcze większe skandale:
kiedy hakerom uda się podsłuch rozmowy papieża
z prezydentem Stanów Zjednoczonych
na temat dziesięciny, jaką trzeba płacić za dusze
potępionych, którym nie udzielono stałego pobytu
w niebie, każdemu obywatelowi
otwiera się wtedy nóż rozgoryczenia w kieszeni.","Тадеуш Хабровський Вуді Аллен каже бо в злі часи живемо, і психіатри в лікарні нерідко плутають дроти, до яких нас підключено, і найдужчі спортсмени мордуються нападами істерії; і священика неспроможного відрізнити парафіяльну секретарку від двох яєць, зварених на м’яко, викликають до єпископального суду за перелюб; і астронавта, запрошеного на конференцію туристичних аґенцій до Сан-Франциско, готельна покоївка звинувачує в домаганні її перевтомленої устриці; та буває і ще більший скандал: коли хакерам вдається підслухати розмову папи з президентом Сполучених Штатів про десятину, що її слід платити за душі засуджених на вічні муки, яким не було надано постійної прописки на небі, й тоді в кожного громадянина ніж озлоблення розкривається в кишені. Tadeusz Chabrowski Woody Allen twierdzi że żyjemy w złych czasach, często psychiatrzy w szpitalu plączą druty, do których nas podłączają, najzdrowsi atleci ulegają atakom histerii; ksiądz katecheta, który nie potrafi odróżnić parafialnej sekretarki od dwóch jaj ugotowanych na miękko, jest pozwany przed sąd biskupi za cudzołóstwo; astronuta, który został zaproszony na konferencję agencji turystycznych do San Francisco, jest oskarżony przez hotelową sprzątaczkę o molestowanie jej przemęczonej ostrygi; bywają jeszcze większe skandale: kiedy hakerom uda się podsłuch rozmowy papieża z prezydentem Stanów Zjednoczonych na temat dziesięciny, jaką trzeba płacić za dusze potępionych, którym nie udzielono stałego pobytu w niebie, każdemu obywatelowi otwiera się wtedy nóż rozgoryczenia w kieszeni.","{'theater', 'usa', 'woody allen'}"
15,16,Oleksandr Irvanets,Ukrainian,"А СВЯТО ТРИВАЄ...
***
Новорічна пісня рине 
Від дверей і до дверей, 
І встає моя країна 
Не лише на Сашу Ґрей!","А СВЯТО ТРИВАЄ... *** Новорічна пісня рине  Від дверей і до дверей,  І встає моя країна  Не лише на Сашу Ґрей!","{'theater', 'sasha grey', 'holiday', 'celebration'}"
18,19,Boris Khersonsky,Russian,"***

Пробудитесь, цари! Поднимайтесь скорей!
Здесь, на Ближнем Востоке свергают царей,
волокут и дырявят затылки
из советских лихих пистолетов. Народ
помутился, как разум, повсюду разброд
и шатания, гнев, перекошенный рот
и от страха трясутся поджилки.

Пробудитесь, цари! Вот в окошко звезда,
воссияла. Восстаньте, спешите туда,
где по тучным равнинам гуляют стада,
не боясь ни волков, ни разбоя.
Где на тонкой свирели играет пастух,
где под взглядами высохших, гнутых старух
детвора хорошеет собою.

Там над мягкой травою летит светлячок.
Там над яслями ослик стоит и бычок.
Как подумаешь - жалкий, пустынный клочок,
территории, столь отдаленной,
что в имперской столице забыли о ней,
станет центром Вселенной - на несколько дней
изменившейся и просветленной.

Безоружные стражи младенчески спят.
Ходят рыжие львы среди белых ягнят.
Мясники без работы. Людей не казнят
палачи. Не стесняют свободы
ни оковы, ни стены. Деревья цветут
и плоды созревают, и зерна дают
небывалые пышные всходы.

Возрождается жизнь из-под каменных плит,
и уже ничего никогда не болит,
и Младенец прекрасный тихонько гулит
на коленях Царицы Небесной.
И такой несказанный повсюду покой!
раз в Историю может случиться такой
под ужасною звездною бездной.

На пропитанной кровью и ложью земле,
где живут в тесноте и плодятся в тепле,
где расставлены крепости, как на столе
перед ужином скудным - посуда,
остается надеяться на чудеса.
Вот, ключи принесут, отворят небеса
и Звезда воссияет оттуда.

январь 2012","***  Пробудитесь, цари! Поднимайтесь скорей! Здесь, на Ближнем Востоке свергают царей, волокут и дырявят затылки из советских лихих пистолетов. Народ помутился, как разум, повсюду разброд и шатания, гнев, перекошенный рот и от страха трясутся поджилки.  Пробудитесь, цари! Вот в окошко звезда, воссияла. Восстаньте, спешите туда, где по тучным равнинам гуляют стада, не боясь ни волков, ни разбоя. Где на тонкой свирели играет пастух, где под взглядами высохших, гнутых старух детвора хорошеет собою.  Там над мягкой травою летит светлячок. Там над яслями ослик стоит и бычок. Как подумаешь - жалкий, пустынный клочок, территории, столь отдаленной, что в имперской столице забыли о ней, станет центром Вселенной - на несколько дней изменившейся и просветленной.  Безоружные стражи младенчески спят. Ходят рыжие львы среди белых ягнят. Мясники без работы. Людей не казнят палачи. Не стесняют свободы ни оковы, ни стены. Деревья цветут и плоды созревают, и зерна дают небывалые пышные всходы.  Возрождается жизнь из-под каменных плит, и уже ничего никогда не болит, и Младенец прекрасный тихонько гулит на коленях Царицы Небесной. И такой несказанный повсюду покой! раз в Историю может случиться такой под ужасною звездною бездной.  На пропитанной кровью и ложью земле, где живут в тесноте и плодятся в тепле, где расставлены крепости, как на столе перед ужином скудным - посуда, остается надеяться на чудеса. Вот, ключи принесут, отворят небеса и Звезда воссияет оттуда.  январь 2012","{'imperialism', 'soviet union', 'christmas', 'revolution'}"
21,22,Boris Khersonsky,Russian,"***
Волхвы иным путем возвратятся в страну свою.
Пастухи вернутся к отарам. Овцы пойдут под нож.
Мария сядет за прялку, поскольку в этом краю
женщины заняты делом. Прогибаясь под тяжестью нош,

перебирая ногами, ослик уйдет в никуда,
Иосиф вернется к старинному плотницкому ремеслу.
По тем же холмам пройдут иные стада.
Ирод умрет, но солдаты будут прислуживать злу.

Младенец станет Ребенком, смышленым не по годам.
Будет творить чудеса и помогать отцу.
Ангелы разлетятся по райским плодовым садам.
Харчевни откроют двери страннику и пришлецу.

Жертвенные животные будут на алтаре
сгорать, посылая к небу жирный, тяжелый дым.
Благоуханье, приятное Господу. Во дворе
Храма будут менялы заниматься делом своим.

На тридцать лет все войдет в привычную колею.
Каждодневный унылый труд приносит доход и тоску.
Мария сидит за прялкой, напевая песню свою.
Иисус и Иосиф к доске прилаживают доску.","*** Волхвы иным путем возвратятся в страну свою. Пастухи вернутся к отарам. Овцы пойдут под нож. Мария сядет за прялку, поскольку в этом краю женщины заняты делом. Прогибаясь под тяжестью нош,  перебирая ногами, ослик уйдет в никуда, Иосиф вернется к старинному плотницкому ремеслу. По тем же холмам пройдут иные стада. Ирод умрет, но солдаты будут прислуживать злу.  Младенец станет Ребенком, смышленым не по годам. Будет творить чудеса и помогать отцу. Ангелы разлетятся по райским плодовым садам. Харчевни откроют двери страннику и пришлецу.  Жертвенные животные будут на алтаре сгорать, посылая к небу жирный, тяжелый дым. Благоуханье, приятное Господу. Во дворе Храма будут менялы заниматься делом своим.  На тридцать лет все войдет в привычную колею. Каждодневный унылый труд приносит доход и тоску. Мария сидит за прялкой, напевая песню свою. Иисус и Иосиф к доске прилаживают доску.","{'ekphrasis', 'christmas', 'christ'}"
25,26,Oleksandr Irvanets,Ukrainian,"Навіть не пробуйте вгадати автора! 
***
На Різдво в Україні діються речі 
потаємні й вічні. Скажімо, місяць 
виявляється зайвим, тому Святвечір 
переходить не в ніч, над якою висять 
херувими сонні, а в ніч — як море, 
по якій навряд чи спроможні трії 
мандрівні царі, подолавши гори, 
своєчасно встигнути до Марії. 
Це, однак, не значить, що все даремно, 
всі прогнози, прикмети цілком опуклі. 
Попри те, що зимно і те, що темно, 
неминучим є чудо, скажімо, в Дуклі, 
чи де-небудь. Це, як і з'ява комети, 
як сама зоря, що провадила, пасла 
пастушків, ягнят, як і всі предмети, — 
все збувається: Йосиф, яскиня, ясла, 
коляда збувається, сіно, свічка. 
А проте — лишень у вертепній скрині, 
до якої доступ і вхід крізь вічка, 
бо насправді нема яскині, нині 
я, здається, готовий прийти з дарами, 
хоч діряво в кишенях, а в небі сіро. 
Тут мене ловили вітрини, брами. 
Треба їхати. Може, сконає Ірод.","Навіть не пробуйте вгадати автора!  *** На Різдво в Україні діються речі  потаємні й вічні. Скажімо, місяць  виявляється зайвим, тому Святвечір  переходить не в ніч, над якою висять  херувими сонні, а в ніч — як море,  по якій навряд чи спроможні трії  мандрівні царі, подолавши гори,  своєчасно встигнути до Марії.  Це, однак, не значить, що все даремно,  всі прогнози, прикмети цілком опуклі.  Попри те, що зимно і те, що темно,  неминучим є чудо, скажімо, в Дуклі,  чи де-небудь. Це, як і з'ява комети,  як сама зоря, що провадила, пасла  пастушків, ягнят, як і всі предмети, —  все збувається: Йосиф, яскиня, ясла,  коляда збувається, сіно, свічка.  А проте — лишень у вертепній скрині,  до якої доступ і вхід крізь вічка,  бо насправді нема яскині, нині  я, здається, готовий прийти з дарами,  хоч діряво в кишенях, а в небі сіро.  Тут мене ловили вітрини, брами.  Треба їхати. Може, сконає Ірод.","{'holiday', 'christianity', 'ukraine', 'christmas'}"
26,27,Oleksandr Irvanets,Ukrainian,"ІНШИЙ ПОГЛЯД 
***
Щось замілка колядників ріка, 
Та й з них практично кожен (чи то кажний)
Вславляє не Христа, а п'ятака, 
Чи інше божество, що зветься ""Руб Бумажний""...","ІНШИЙ ПОГЛЯД  *** Щось замілка колядників ріка,  Та й з них практично кожен  Вславляє не Христа, а п'ятака,  Чи інше божество, що зветься ""Руб Бумажний""...","{'christianity', 'holiday', 'christmas'}"
27,28,Oleh Kotsarev,Ukrainian,"Різдво на мокрій сторінці підручника історії:
краплі дощу
хоч якимись прикрасами
на туман прилипають,
а з кінцевої зупинки метро,
вже за містом,
виходить вертеп і суне лісом;
тіні гілок аж до неба,
папір під ногами все більш розкисає,
й попереду щось тьмяніє –
що то, Царю – болото безмежне?
що то, Смерте – калюжа бездонна?
ні, то кома, нею не дуже зграбно
скінчується останній рядок
цієї сторінки,
котра зараз перегорнеться – 
і…","Різдво на мокрій сторінці підручника історії: краплі дощу хоч якимись прикрасами на туман прилипають, а з кінцевої зупинки метро, вже за містом, виходить вертеп і суне лісом; тіні гілок аж до неба, папір під ногами все більш розкисає, й попереду щось тьмяніє – що то, Царю – болото безмежне? що то, Смерте – калюжа бездонна? ні, то кома, нею не дуже зграбно скінчується останній рядок цієї сторінки, котра зараз перегорнеться –  і…","{'history', 'change', 'water', 'revolution'}"
28,29,Ostap Slyvynsky,Ukrainian,"БУРШТИН
Скажи, то був жарт? Я копа́в
цілу ніч, як ти мені наказала,
миші з мене сміялися. 
Здавалось, я бачу, як по той бік
нагрівається листя,
як там збирають дітей до школи,
одягаючи їм білі комірчики,
як перевіряють, чи вимкнули праску,
як підливають петунії з бляшаної 
поливалки. 
І поклявся б, що чую, 
як б’ється серце крізь глину. А виходить, 
дарма турбував надію?
Дарма гортав землю, шукаючи в ній
хоч один світлий рядок?
Поясни мені це, доки стою,
роздивляючись власну долоню,
на якій – під самим безіменним пальцем,
де терло руків’я лопати, –
наливається зерно бурштину,
ніби лампа, ненадовго увімкнена
в якомусь моєму чистилищі
моєю ж рукою.","БУРШТИН Скажи, то був жарт? Я копа́в цілу ніч, як ти мені наказала, миші з мене сміялися.  Здавалось, я бачу, як по той бік нагрівається листя, як там збирають дітей до школи, одягаючи їм білі комірчики, як перевіряють, чи вимкнули праску, як підливають петунії з бляшаної  поливалки.  І поклявся б, що чую,  як б’ється серце крізь глину. А виходить,  дарма турбував надію? Дарма гортав землю, шукаючи в ній хоч один світлий рядок? Поясни мені це, доки стою, роздивляючись власну долоню, на якій – під самим безіменним пальцем, де терло руків’я лопати, – наливається зерно бурштину, ніби лампа, ненадовго увімкнена в якомусь моєму чистилищі моєю ж рукою.","{'amber', 'quotidian'}"
39,40,Boris Khersonsky,Russian,"О.М.
Он, кто армянское небо назвал близоруким,
а красоту женщин сравнил с красотою львиной,
тот, кто дарил забвение птицам, тюрьмам, старухам,
тот, кто видел свет, сходящий с горы лавиной,

Он, кто из последних сил висел на подножке трамвайной,
кому со столба рассказывал сказки рупор,
кто пил на кухне чай вдвоем со свободой тайной
и при стуке в дверь впадал в беспробудный ступор,

Он тот, кто видел ордер с печатью на арест и на обыск,
кого телячий вагон вез к могиле дальневосточной,
который хотел, но не смог прожить, приспособясь,
дышал и давился советской ложью подстрочной,

Он тот, чьи стихи я читал на папиросной бумаге
с бледным шрифтом, каждое слово запоминая, 
Но что я мог знать о нервной, тщедушной отваге,
о черном солнце, что воссияло с вершины Синая,

о стуже Летейской и о свободе плененной,
о пчелах и ласточках, об ионийской дудке,
о солдате в шинели рядом с Александрийской колонной,
о кипятке станционном, о лагерной самокрутке...","О.М. Он, кто армянское небо назвал близоруким, а красоту женщин сравнил с красотою львиной, тот, кто дарил забвение птицам, тюрьмам, старухам, тот, кто видел свет, сходящий с горы лавиной,  Он, кто из последних сил висел на подножке трамвайной, кому со столба рассказывал сказки рупор, кто пил на кухне чай вдвоем со свободой тайной и при стуке в дверь впадал в беспробудный ступор,  Он тот, кто видел ордер с печатью на арест и на обыск, кого телячий вагон вез к могиле дальневосточной, который хотел, но не смог прожить, приспособясь, дышал и давился советской ложью подстрочной,  Он тот, чьи стихи я читал на папиросной бумаге с бледным шрифтом, каждое слово запоминая,  Но что я мог знать о нервной, тщедушной отваге, о черном солнце, что воссияло с вершины Синая,  о стуже Летейской и о свободе плененной, о пчелах и ласточках, об ионийской дудке, о солдате в шинели рядом с Александрийской колонной, о кипятке станционном, о лагерной самокрутке...","{'black sun', 'poetry', 'mandelstam', 'armenia', 'gulag'}"
