,ID,poem_author,language,original_poem,light_clean_poem,theme
3,4,Boris Khersonsky,Russian,"***
""Союз нерушимый"" сыграют и хором споют.
В мире - полный абзац. В доме - полный уют.

В смысле - салат, шпроты, сметанный торт.
Пылесос отработал свое. Вата лежит между рам.
Есть даже снег за окном, что редкость у нас. И черт
с ним - растает, подмерзнет, опять - гололед по утрам.

Меня уложат в полпервого. Какой там сон!
Ходит мышиный король, семь голов, семь корон.
Дядя Леня Бернштейн лабает ""шестнадцать тонн"".

Пары встали из за стола, пытаются танцевать.
Я укрыт с головой. Подрагивает кровать.
Неужели им всем есть о чем подумать и что скрывать?

Левый доход, убеждения, служебный роман -
Жена уже написала в местком-партком.
Доктор энэн имеет доступ к морфию, поэтому - наркоман.

Я наконец засыпаю. Проснусь седым стариком.

Брезжит сквозь щели в ставне отсвет зимнего дня.
Подсыхает кусочек торта, оставленный для меня.
(2010-2011)","*** ""Союз нерушимый"" сыграют и хором споют. В мире - полный абзац. В доме - полный уют.  В смысле - салат, шпроты, сметанный торт. Пылесос отработал свое. Вата лежит между рам. Есть даже снег за окном, что редкость у нас. И черт с ним - растает, подмерзнет, опять - гололед по утрам.  Меня уложат в полпервого. Какой там сон! Ходит мышиный король, семь голов, семь корон. Дядя Леня Бернштейн лабает ""шестнадцать тонн"".  Пары встали из за стола, пытаются танцевать. Я укрыт с головой. Подрагивает кровать. Неужели им всем есть о чем подумать и что скрывать?  Левый доход, убеждения, служебный роман - Жена уже написала в местком-партком. Доктор энэн имеет доступ к морфию, поэтому - наркоман.  Я наконец засыпаю. Проснусь седым стариком.  Брезжит сквозь щели в ставне отсвет зимнего дня. Подсыхает кусочек торта, оставленный для меня. (2010-2011)","{'food', 'soviet union', 'morphine', 'anthem'}"
7,8,Oleh Kotsarev,Ukrainian,"ПОВЕРНЕННЯ

Місто L – так близько до міста N,
і я знову тут,
і знову не розумію,
що тут, власне, роблю,
знову порожній двір ренесансовий з баштою
і потужні ворони над ними
горохом
зі сходу на захід, із півдня на північ,
чи які ще там бувають напрями.

Мені знову здається, що я не встигаю
за темпом мови
і не зміг розібрати колір очей напевно,
тільки фактуру шкіри,
тільки фактуру стін
і над містом старим повітря
у мить ліхтарів най-найперших.

Я тут можу звернути
на будь-яку вулицю,
попід кожну із цих глазурованих
цукерок-вивісок,
що оманливо видаються такими минущими,
та насправді все вічне
залишається вічним,
як і хворий, що йде вслід за мною
й хоче дзвонити з мого чужого тут телефона,
як і двері, уп’ятеро вищі від мене –
час їх уже неохоче
зачиняти
за
собою,
зачепивши когось рюкзаком ненавмисне.","ПОВЕРНЕННЯ  Місто L – так близько до міста N, і я знову тут, і знову не розумію, що тут, власне, роблю, знову порожній двір ренесансовий з баштою і потужні ворони над ними горохом зі сходу на захід, із півдня на північ, чи які ще там бувають напрями.  Мені знову здається, що я не встигаю за темпом мови і не зміг розібрати колір очей напевно, тільки фактуру шкіри, тільки фактуру стін і над містом старим повітря у мить ліхтарів най-найперших.  Я тут можу звернути на будь-яку вулицю, попід кожну із цих глазурованих цукерок-вивісок, що оманливо видаються такими минущими, та насправді все вічне залишається вічним, як і хворий, що йде вслід за мною й хоче дзвонити з мого чужого тут телефона, як і двері, уп’ятеро вищі від мене – час їх уже неохоче зачиняти за собою, зачепивши когось рюкзаком ненавмисне.","{'', 'city', 'return'}"
13,14,Tadeusz Chabrowski,Ukrainian,"Тадеуш Хабровський
Вуді Аллен каже
бо в злі часи живемо,
і психіатри в лікарні нерідко плутають дроти,
до яких нас підключено,
і найдужчі спортсмени мордуються нападами істерії;
і священика
неспроможного відрізнити парафіяльну секретарку
від двох яєць, зварених на м’яко,
викликають до єпископального суду за перелюб;
і астронавта, запрошеного на конференцію
туристичних аґенцій до Сан-Франциско,
готельна покоївка звинувачує
в домаганні її перевтомленої устриці;
та буває і ще більший скандал:
коли хакерам вдається підслухати розмову папи
з президентом Сполучених Штатів
про десятину, що її слід платити за душі
засуджених на вічні муки, яким
не було надано постійної прописки
на небі, й тоді в кожного громадянина
ніж озлоблення розкривається в кишені.
Tadeusz Chabrowski
Woody Allen twierdzi
że żyjemy w złych czasach,
często psychiatrzy w szpitalu plączą druty,
do których nas podłączają,
najzdrowsi atleci ulegają atakom histerii;
ksiądz katecheta,
który nie potrafi odróżnić parafialnej sekretarki
od dwóch jaj ugotowanych na miękko,
jest pozwany przed sąd biskupi za cudzołóstwo;
astronuta, który został zaproszony na konferencję
agencji turystycznych do San Francisco,
jest oskarżony przez hotelową sprzątaczkę
o molestowanie jej przemęczonej ostrygi;
bywają jeszcze większe skandale:
kiedy hakerom uda się podsłuch rozmowy papieża
z prezydentem Stanów Zjednoczonych
na temat dziesięciny, jaką trzeba płacić za dusze
potępionych, którym nie udzielono stałego pobytu
w niebie, każdemu obywatelowi
otwiera się wtedy nóż rozgoryczenia w kieszeni.","Тадеуш Хабровський Вуді Аллен каже бо в злі часи живемо, і психіатри в лікарні нерідко плутають дроти, до яких нас підключено, і найдужчі спортсмени мордуються нападами істерії; і священика неспроможного відрізнити парафіяльну секретарку від двох яєць, зварених на м’яко, викликають до єпископального суду за перелюб; і астронавта, запрошеного на конференцію туристичних аґенцій до Сан-Франциско, готельна покоївка звинувачує в домаганні її перевтомленої устриці; та буває і ще більший скандал: коли хакерам вдається підслухати розмову папи з президентом Сполучених Штатів про десятину, що її слід платити за душі засуджених на вічні муки, яким не було надано постійної прописки на небі, й тоді в кожного громадянина ніж озлоблення розкривається в кишені. Tadeusz Chabrowski Woody Allen twierdzi że żyjemy w złych czasach, często psychiatrzy w szpitalu plączą druty, do których nas podłączają, najzdrowsi atleci ulegają atakom histerii; ksiądz katecheta, który nie potrafi odróżnić parafialnej sekretarki od dwóch jaj ugotowanych na miękko, jest pozwany przed sąd biskupi za cudzołóstwo; astronuta, który został zaproszony na konferencję agencji turystycznych do San Francisco, jest oskarżony przez hotelową sprzątaczkę o molestowanie jej przemęczonej ostrygi; bywają jeszcze większe skandale: kiedy hakerom uda się podsłuch rozmowy papieża z prezydentem Stanów Zjednoczonych na temat dziesięciny, jaką trzeba płacić za dusze potępionych, którym nie udzielono stałego pobytu w niebie, każdemu obywatelowi otwiera się wtedy nóż rozgoryczenia w kieszeni.","{'theater', 'usa', 'woody allen'}"
15,16,Oleksandr Irvanets,Ukrainian,"А СВЯТО ТРИВАЄ...
***
Новорічна пісня рине 
Від дверей і до дверей, 
І встає моя країна 
Не лише на Сашу Ґрей!","А СВЯТО ТРИВАЄ... *** Новорічна пісня рине  Від дверей і до дверей,  І встає моя країна  Не лише на Сашу Ґрей!","{'sasha grey', 'holiday', 'celebration', 'theater'}"
18,19,Boris Khersonsky,Russian,"***

Пробудитесь, цари! Поднимайтесь скорей!
Здесь, на Ближнем Востоке свергают царей,
волокут и дырявят затылки
из советских лихих пистолетов. Народ
помутился, как разум, повсюду разброд
и шатания, гнев, перекошенный рот
и от страха трясутся поджилки.

Пробудитесь, цари! Вот в окошко звезда,
воссияла. Восстаньте, спешите туда,
где по тучным равнинам гуляют стада,
не боясь ни волков, ни разбоя.
Где на тонкой свирели играет пастух,
где под взглядами высохших, гнутых старух
детвора хорошеет собою.

Там над мягкой травою летит светлячок.
Там над яслями ослик стоит и бычок.
Как подумаешь - жалкий, пустынный клочок,
территории, столь отдаленной,
что в имперской столице забыли о ней,
станет центром Вселенной - на несколько дней
изменившейся и просветленной.

Безоружные стражи младенчески спят.
Ходят рыжие львы среди белых ягнят.
Мясники без работы. Людей не казнят
палачи. Не стесняют свободы
ни оковы, ни стены. Деревья цветут
и плоды созревают, и зерна дают
небывалые пышные всходы.

Возрождается жизнь из-под каменных плит,
и уже ничего никогда не болит,
и Младенец прекрасный тихонько гулит
на коленях Царицы Небесной.
И такой несказанный повсюду покой!
раз в Историю может случиться такой
под ужасною звездною бездной.

На пропитанной кровью и ложью земле,
где живут в тесноте и плодятся в тепле,
где расставлены крепости, как на столе
перед ужином скудным - посуда,
остается надеяться на чудеса.
Вот, ключи принесут, отворят небеса
и Звезда воссияет оттуда.

январь 2012","***  Пробудитесь, цари! Поднимайтесь скорей! Здесь, на Ближнем Востоке свергают царей, волокут и дырявят затылки из советских лихих пистолетов. Народ помутился, как разум, повсюду разброд и шатания, гнев, перекошенный рот и от страха трясутся поджилки.  Пробудитесь, цари! Вот в окошко звезда, воссияла. Восстаньте, спешите туда, где по тучным равнинам гуляют стада, не боясь ни волков, ни разбоя. Где на тонкой свирели играет пастух, где под взглядами высохших, гнутых старух детвора хорошеет собою.  Там над мягкой травою летит светлячок. Там над яслями ослик стоит и бычок. Как подумаешь - жалкий, пустынный клочок, территории, столь отдаленной, что в имперской столице забыли о ней, станет центром Вселенной - на несколько дней изменившейся и просветленной.  Безоружные стражи младенчески спят. Ходят рыжие львы среди белых ягнят. Мясники без работы. Людей не казнят палачи. Не стесняют свободы ни оковы, ни стены. Деревья цветут и плоды созревают, и зерна дают небывалые пышные всходы.  Возрождается жизнь из-под каменных плит, и уже ничего никогда не болит, и Младенец прекрасный тихонько гулит на коленях Царицы Небесной. И такой несказанный повсюду покой! раз в Историю может случиться такой под ужасною звездною бездной.  На пропитанной кровью и ложью земле, где живут в тесноте и плодятся в тепле, где расставлены крепости, как на столе перед ужином скудным - посуда, остается надеяться на чудеса. Вот, ключи принесут, отворят небеса и Звезда воссияет оттуда.  январь 2012","{'soviet union', 'christmas', 'revolution', 'imperialism'}"
19,20,Oleksandr Irvanets,Ukrainian,"***
В еротичних снах приходить 
До закоханих дівчат, 
І ще двох таких приводить 
Триєдиний кандидат!
В нього форми бездоганні, 
Як у гречеських скульптур,
І ведуть ці форми гарні 
Прямиком у другий тур!","*** В еротичних снах приходить  До закоханих дівчат,  І ще двох таких приводить  Триєдиний кандидат! В нього форми бездоганні,  Як у гречеських скульптур, І ведуть ці форми гарні  Прямиком у другий тур!","{'greek sculptures', 'art'}"
21,22,Boris Khersonsky,Russian,"***
Волхвы иным путем возвратятся в страну свою.
Пастухи вернутся к отарам. Овцы пойдут под нож.
Мария сядет за прялку, поскольку в этом краю
женщины заняты делом. Прогибаясь под тяжестью нош,

перебирая ногами, ослик уйдет в никуда,
Иосиф вернется к старинному плотницкому ремеслу.
По тем же холмам пройдут иные стада.
Ирод умрет, но солдаты будут прислуживать злу.

Младенец станет Ребенком, смышленым не по годам.
Будет творить чудеса и помогать отцу.
Ангелы разлетятся по райским плодовым садам.
Харчевни откроют двери страннику и пришлецу.

Жертвенные животные будут на алтаре
сгорать, посылая к небу жирный, тяжелый дым.
Благоуханье, приятное Господу. Во дворе
Храма будут менялы заниматься делом своим.

На тридцать лет все войдет в привычную колею.
Каждодневный унылый труд приносит доход и тоску.
Мария сидит за прялкой, напевая песню свою.
Иисус и Иосиф к доске прилаживают доску.","*** Волхвы иным путем возвратятся в страну свою. Пастухи вернутся к отарам. Овцы пойдут под нож. Мария сядет за прялку, поскольку в этом краю женщины заняты делом. Прогибаясь под тяжестью нош,  перебирая ногами, ослик уйдет в никуда, Иосиф вернется к старинному плотницкому ремеслу. По тем же холмам пройдут иные стада. Ирод умрет, но солдаты будут прислуживать злу.  Младенец станет Ребенком, смышленым не по годам. Будет творить чудеса и помогать отцу. Ангелы разлетятся по райским плодовым садам. Харчевни откроют двери страннику и пришлецу.  Жертвенные животные будут на алтаре сгорать, посылая к небу жирный, тяжелый дым. Благоуханье, приятное Господу. Во дворе Храма будут менялы заниматься делом своим.  На тридцать лет все войдет в привычную колею. Каждодневный унылый труд приносит доход и тоску. Мария сидит за прялкой, напевая песню свою. Иисус и Иосиф к доске прилаживают доску.","{'ekphrasis', 'christ', 'christmas'}"
24,25,Vasyl Makhno,Ukrainian,"Різдвяний вірш

не проспали б волхви – не змигнули б звізду
ту що каже тобі «я тебе приведу»
золота наче пряник на згуслім меду
золота як кориця
я кажу їй: веди серце риби й плавник
узувайся в сандалі чи мій черевик
хоч з верблюжої шерсті одежа на них
і кришталь замість серця

а в базарських снігах пан господар Василь
моїм серцем дитячим пшеницю косив
і водив по оборі без жодних зусиль
й по снігах свою челядь
я кажу: що я звідси що серце з крижин
я прохухав у шибці в підкладку зашив
а волхвів я ще вчора самих залишив
при шатрі й при вечері

світло бризнуло їм молоком верблюдиць
я кажу: що я нині і сам заблудивсь
за зіницею зірки від якої збудивсь
прочинялися двері
я лежав в серці риби тонким плавником
янгол злизував губи своїм язиком
затуляючи очі прозорим крилом
і нитками з паперу

в пучці шерсті верблюжій діоптрій звізди
і розсунуті межі і срібло води
пастухи і рибалки слова і роди
рукописні і книжні
княжих шатер дірявий тугий оксамит
в геометрії світла крім ліній самих
підсувались верблюди поближче самиць
залишалися тижні

залишались сніги й мій плавник як кермо
моє серце на нитці гуділо само
серце риби в повітрі лишало клеймо
пучку світла верблюжу
зірка та що веде каже: йдем на раз-два
щоби нас пригорнуло світло Різдва
що тримає в зіниці вола і волхва
смерть твою й душу

2013
",Різдвяний вірш  не проспали б волхви – не змигнули б звізду ту що каже тобі «я тебе приведу» золота наче пряник на згуслім меду золота як кориця я кажу їй: веди серце риби й плавник узувайся в сандалі чи мій черевик хоч з верблюжої шерсті одежа на них і кришталь замість серця  а в базарських снігах пан господар Василь моїм серцем дитячим пшеницю косив і водив по оборі без жодних зусиль й по снігах свою челядь я кажу: що я звідси що серце з крижин я прохухав у шибці в підкладку зашив а волхвів я ще вчора самих залишив при шатрі й при вечері  світло бризнуло їм молоком верблюдиць я кажу: що я нині і сам заблудивсь за зіницею зірки від якої збудивсь прочинялися двері я лежав в серці риби тонким плавником янгол злизував губи своїм язиком затуляючи очі прозорим крилом і нитками з паперу  в пучці шерсті верблюжій діоптрій звізди і розсунуті межі і срібло води пастухи і рибалки слова і роди рукописні і книжні княжих шатер дірявий тугий оксамит в геометрії світла крім ліній самих підсувались верблюди поближче самиць залишалися тижні  залишались сніги й мій плавник як кермо моє серце на нитці гуділо само серце риби в повітрі лишало клеймо пучку світла верблюжу зірка та що веде каже: йдем на раз-два щоби нас пригорнуло світло Різдва що тримає в зіниці вола і волхва смерть твою й душу  2013 ,"{'domesticity', 'food', 'christmas', 'snow'}"
25,26,Oleksandr Irvanets,Ukrainian,"Навіть не пробуйте вгадати автора! 
***
На Різдво в Україні діються речі 
потаємні й вічні. Скажімо, місяць 
виявляється зайвим, тому Святвечір 
переходить не в ніч, над якою висять 
херувими сонні, а в ніч — як море, 
по якій навряд чи спроможні трії 
мандрівні царі, подолавши гори, 
своєчасно встигнути до Марії. 
Це, однак, не значить, що все даремно, 
всі прогнози, прикмети цілком опуклі. 
Попри те, що зимно і те, що темно, 
неминучим є чудо, скажімо, в Дуклі, 
чи де-небудь. Це, як і з'ява комети, 
як сама зоря, що провадила, пасла 
пастушків, ягнят, як і всі предмети, — 
все збувається: Йосиф, яскиня, ясла, 
коляда збувається, сіно, свічка. 
А проте — лишень у вертепній скрині, 
до якої доступ і вхід крізь вічка, 
бо насправді нема яскині, нині 
я, здається, готовий прийти з дарами, 
хоч діряво в кишенях, а в небі сіро. 
Тут мене ловили вітрини, брами. 
Треба їхати. Може, сконає Ірод.","Навіть не пробуйте вгадати автора!  *** На Різдво в Україні діються речі  потаємні й вічні. Скажімо, місяць  виявляється зайвим, тому Святвечір  переходить не в ніч, над якою висять  херувими сонні, а в ніч — як море,  по якій навряд чи спроможні трії  мандрівні царі, подолавши гори,  своєчасно встигнути до Марії.  Це, однак, не значить, що все даремно,  всі прогнози, прикмети цілком опуклі.  Попри те, що зимно і те, що темно,  неминучим є чудо, скажімо, в Дуклі,  чи де-небудь. Це, як і з'ява комети,  як сама зоря, що провадила, пасла  пастушків, ягнят, як і всі предмети, —  все збувається: Йосиф, яскиня, ясла,  коляда збувається, сіно, свічка.  А проте — лишень у вертепній скрині,  до якої доступ і вхід крізь вічка,  бо насправді нема яскині, нині  я, здається, готовий прийти з дарами,  хоч діряво в кишенях, а в небі сіро.  Тут мене ловили вітрини, брами.  Треба їхати. Може, сконає Ірод.","{'ukraine', 'holiday', 'christmas', 'christianity'}"
26,27,Oleksandr Irvanets,Ukrainian,"ІНШИЙ ПОГЛЯД 
***
Щось замілка колядників ріка, 
Та й з них практично кожен (чи то кажний)
Вславляє не Христа, а п'ятака, 
Чи інше божество, що зветься ""Руб Бумажний""...","ІНШИЙ ПОГЛЯД  *** Щось замілка колядників ріка,  Та й з них практично кожен  Вславляє не Христа, а п'ятака,  Чи інше божество, що зветься ""Руб Бумажний""...","{'holiday', 'christmas', 'christianity'}"
