,ID,poem_author,language,original_poem,light_clean_poem,theme,big_theme
0,1,Halyna Kruk,Ukrainian,"***
cказати собі чесно, якомога чесніше,
так ніби уже немає чого втрачати:
ми надто довго жили, покладаючись на інших -
як книжка пише, що люди скажуть,
ми надто звикли до цих вишитих гамівних сорочок,
до цих пишних церковно-гастрономічних обрядів,
до цих дуль у кишені, які часто видаємо за спротив.
сказати собі чітко:
не вистачить сіл і містечок, щоб кожна хата скраю,
не вистачить вояків, щоб по одному виходити в поле,
не вистачить поля, навіть китайок не вистачить, навезених із Китаю.
сказати собі безжально, не ховаючись за плечі інших,
не сягаючи щоразу по славу дідів та пам*ять героїв,
як по хусточку для патріотичних сліз і соплів, не втікаючи у тужливу пісню.
сказати собі:
я – остання буква абетки, без якої мене не буде,
я - остання територія,
я – те, чого я не можу зректися,
я - тесля колоди у власному оці
я не мушу тесати із неї хреста, якщо я не хочу
я не можу віддати того, що мені не належить
я належу до цього народу, я - цей народ
я не хочу, щоб ми довіку ходили такими глухими шляхами,
отже, я починаю від себе - я розорюю межі
я – ми, я-ми, ями","*** cказати собі чесно, якомога чесніше, так ніби уже немає чого втрачати: ми надто довго жили, покладаючись на інших - як книжка пише, що люди скажуть, ми надто звикли до цих вишитих гамівних сорочок, до цих пишних церковно-гастрономічних обрядів, до цих дуль у кишені, які часто видаємо за спротив. сказати собі чітко: не вистачить сіл і містечок, щоб кожна хата скраю, не вистачить вояків, щоб по одному виходити в поле, не вистачить поля, навіть китайок не вистачить, навезених із Китаю. сказати собі безжально, не ховаючись за плечі інших, не сягаючи щоразу по славу дідів та пам*ять героїв, як по хусточку для патріотичних сліз і соплів, не втікаючи у тужливу пісню. сказати собі: я – остання буква абетки, без якої мене не буде, я - остання територія, я – те, чого я не можу зректися, я - тесля колоди у власному оці я не мушу тесати із неї хреста, якщо я не хочу я не можу віддати того, що мені не належить я належу до цього народу, я - цей народ я не хочу, щоб ми довіку ходили такими глухими шляхами, отже, я починаю від себе - я розорюю межі я – ми, я-ми, ями","{'ukraine', 'maidan', 'revolution', 'protest'}","['maidan', 'protest']"
1,2,Ostap Slyvynsky,Ukrainian,"ХАЙКУ З МАЙДАНУ
Дим у рукавах.
Ніби йдеш з цими людьми
лісистим хребтом.
*
Такий простий жест:
одне одному мовчки
пообіцяти.
*
Туди, за щити
пустимо качу – хай їм
пливе по тисині.
*
Провалився час.
Жінки несуть вечерю
мужам на мури.
*
Хай тільки нас
не виселять з наших тіл –
ми вистоїмо.","ХАЙКУ З МАЙДАНУ Дим у рукавах. Ніби йдеш з цими людьми лісистим хребтом. * Такий простий жест: одне одному мовчки пообіцяти. * Туди, за щити пустимо качу – хай їм пливе по тисині. * Провалився час. Жінки несуть вечерю мужам на мури. * Хай тільки нас не виселять з наших тіл – ми вистоїмо.","{'revolution', 'poetic form', 'maidan', 'haiku', 'protest'}","['maidan', 'protest']"
2,3,Osip Mandelstam,Russian,"(О.М.)
Не мучнистой бабочкою белой
В землю я заемный прах верну --
Я хочу, чтоб мыслящее тело
Превратилось в улицу, в страну;
Позвоночное, обугленное тело,
Сознающее свою длину.
Возгласы темно-зеленой хвои,
С глубиной колодезной венки
Тянут жизнь и время дорогое,
Опершись на смертные станки --
Обручи краснознаменной хвои,
Азбучные, крупные венки!
Шли товарищи последнего призыва
По работе в жестких небесах,
Пронесла пехота молчаливо
Восклицанья ружей на плечах.
И зенитных тысячи орудий --
Карих то зрачков иль голубых --
Шли нестройно -- люди, люди, люди,--
Кто же будет продолжать за них?"," Не мучнистой бабочкою белой В землю я заемный прах верну -- Я хочу, чтоб мыслящее тело Превратилось в улицу, в страну; Позвоночное, обугленное тело, Сознающее свою длину. Возгласы темно-зеленой хвои, С глубиной колодезной венки Тянут жизнь и время дорогое, Опершись на смертные станки -- Обручи краснознаменной хвои, Азбучные, крупные венки! Шли товарищи последнего призыва По работе в жестких небесах, Пронесла пехота молчаливо Восклицанья ружей на плечах. И зенитных тысячи орудий -- Карих то зрачков иль голубых -- Шли нестройно -- люди, люди, люди,-- Кто же будет продолжать за них?","{'time', 'twentieth century', 'war'}","['time', 'war']"
4,5,Oleksandr Irvanets,Ukrainian,"***
Цей рік, який почався з середи - 
Куди він заведе нас всіх, куди? 
Чи буде він прямим, як кочерга? 
Але наступний рік почнеться з четверга...","*** Цей рік, який почався з середи -  Куди він заведе нас всіх, куди?  Чи буде він прямим, як кочерга?  Але наступний рік почнеться з четверга...","{'time', 'new year', 'seasons'}","['time', 'season']"
5,6,Oleksandr Irvanets,Ukrainian,"ВІРШИК НА 1 СІЧНЯ 
(Обережно, жорстка лексика!)
***
Здрастуй, Дєдушка Бодун, 
Борода із вати! 
На сніданок не піду, 
А піду блю....","ВІРШИК НА 1 СІЧНЯ   *** Здрастуй, Дєдушка Бодун,  Борода із вати!  На сніданок не піду,  А піду блю....","{'grandpa bodun', 'family'}",['family']
6,7,Kateryna Kalytko,Ukrainian,"У найпершу ніч льодоставу до тебе прибився,
перейшовши ріку, пес із людською мовою.
Так дивився пильно, покірно лизав правицю
і лишився край тебе жити пітьму зимову.
Піч розпікалася, дим летів до небес,
дім обминали звірі, до живого м’ясива ласі,
ти логічно думала, що він і не надто пес,
надто схожий на всіх, до кого ти не дотяглася.
Найглухішої ночі дерева прийшли до вікон,
мовби тіні тих, кого безнадійно кликано.
І собака сказав: насправді ти не обираєш
ні свого дихання, ні свого чоловіка,
вдихаєш – і видихаєш, доки в світі є місце на видих.
Твій чоловік не полює з усією людською зграєю,
вийде один і дивиться, напівопустивши повіки,
чекаючи чи то поклику, чи твоєї першої хиби.
Хвилина вдивляння буде голодна й гола,
а потім – потім просто бережи своє горло.
Чула цей шум, що вранці до нас долинав із даху?
Вправна кицька собі вполювала птаху
і несла її: горлицю – і за горло.
Повтори це тричі.
Тільки тріпання крилами, вітер фінального відчаю,
ця примарна і предковічна гордість.
Краще я розкажу тобі про міста, по яких
протікають канали, і шерсть на спинах вулиць
диба стає, і як чудернацькі квітки
розпускаються в домі, до якого не повернулися
хазяї зрадливі.
І як рука не тремтить
у мисливця, який полює на звірів і птиць,
вміє їх приманювати їхніми ж голосами,
і колись – на голос – вистрілить в себе сам.
Розкажу, як охоплені жаром благають «Пити!»,
як спивають круки очі полеглих у битві,
льоди річкові проломлюються, мов черепи,
із хрускотом, а зима існує, щоби долюбити,
в холоди мертвотніші пригортатися ще тісніше,
дослухатися, що там коле у грудях із правого
боку.
А собаки найдовше поруч з людьми дишуть,
коли й тих, і тих накриває весняний паводок.","У найпершу ніч льодоставу до тебе прибився, перейшовши ріку, пес із людською мовою. Так дивився пильно, покірно лизав правицю і лишився край тебе жити пітьму зимову. Піч розпікалася, дим летів до небес, дім обминали звірі, до живого м’ясива ласі, ти логічно думала, що він і не надто пес, надто схожий на всіх, до кого ти не дотяглася. Найглухішої ночі дерева прийшли до вікон, мовби тіні тих, кого безнадійно кликано. І собака сказав: насправді ти не обираєш ні свого дихання, ні свого чоловіка, вдихаєш – і видихаєш, доки в світі є місце на видих. Твій чоловік не полює з усією людською зграєю, вийде один і дивиться, напівопустивши повіки, чекаючи чи то поклику, чи твоєї першої хиби. Хвилина вдивляння буде голодна й гола, а потім – потім просто бережи своє горло. Чула цей шум, що вранці до нас долинав із даху? Вправна кицька собі вполювала птаху і несла її: горлицю – і за горло. Повтори це тричі. Тільки тріпання крилами, вітер фінального відчаю, ця примарна і предковічна гордість. Краще я розкажу тобі про міста, по яких протікають канали, і шерсть на спинах вулиць диба стає, і як чудернацькі квітки розпускаються в домі, до якого не повернулися хазяї зрадливі. І як рука не тремтить у мисливця, який полює на звірів і птиць, вміє їх приманювати їхніми ж голосами, і колись – на голос – вистрілить в себе сам. Розкажу, як охоплені жаром благають «Пити!», як спивають круки очі полеглих у битві, льоди річкові проломлюються, мов черепи, із хрускотом, а зима існує, щоби долюбити, в холоди мертвотніші пригортатися ще тісніше, дослухатися, що там коле у грудях із правого боку. А собаки найдовше поруч з людьми дишуть, коли й тих, і тих накриває весняний паводок.","{'winter', 'death', 'animals'}","['death', 'animal']"
8,9,Oleksandr Irvanets,Ukrainian,"В ЄВРОПІ КРАЩЕ, НІЖ У...
***
А все ж таки в Європі, у Європоньці, 
Та трохи краще, ніж сидіти в копанці...","В ЄВРОПІ КРАЩЕ, НІЖ У... *** А все ж таки в Європі, у Європоньці,  Та трохи краще, ніж сидіти в копанці...","{'geography', 'europe'}",['geography']
9,10,Oleksandr Irvanets,Ukrainian,"А ХІБА НІ? 
***
За тиждень цих суцільних вихідних 
Ми встигнемо втомитися від них!..",А ХІБА НІ?  *** За тиждень цих суцільних вихідних  Ми встигнемо втомитися від них!..,"{'weekend', 'time'}",['time']
10,11,Tadeusz Chabrowski,Ukrainian,"Тадеуш Хабровський
Портрет із сімома пальцями
Ідеально вдягнений чоловік (білий комірець,
краватка-метелик, квітка в петлиці) тримає в семипалій
руці лампочку (крізь два додаткові пальці
йде живлення від аорти), у вітальні так світло,
що можна роздивитися веснянки на шкірі;
якби хтось торкнувся клавіш фортепіано, одізвався б
меланхолійний Шопен або радісний Моцарт,
побуряковілий від щастя з’явитись на публіці.
Чоловік із семипалою рукою
щасливий у цьому житті, він віддає світові все,
що має, хоча й свідомий своєї убогості;
він із формочки для льоду зумів зробити човна,
чайну ложку підняв замість щогли
і піймав нею вітер
який винесе його з нареченою на середину озера.
Вона горнеться до нього й серце її переповнене радістю,
вона шепоче, що буде йому вірною аж до смерті,
навіть якщо сонце зайшло за хмару;
він схвильований, семипалу руку кладе на груди:
«Нехай буде воля Твоя, Всемогутній Боже, славлять Тебе
зорі й небеса, хай прославляє Тебе наше кохання».
Tadeusz Chabrowski
Portret z siedmioma palcami
Mężczyzna w nienagannym stroju (biały kołnierzyk,
muszka, kwiat w butonierce) trzyma w dłoni
z siedmioma palcami żarówkę (dwa dodatkowe palce
dostarczają prąd z aorty) salon zalany jest światłem,
można rozpoznać piegi na skórze;
gdyby ktoś nacisnął klawisz w fortepianie odezwałby się
melancholijny Szopen albo radosny Mozart,
purpurowy ze szczęścia przed widownią.
Mężczyzna z dłonią z siedmioma palcami
jest szczęśliwszy w życiu, rozdaje światu wszystko
co ma, choć wie, że sam siebie uboży;
potrafi z miseczki na lody zrobić łódkę,
z łyżeczki do herbaty wyprofilować maszt,
który złapie w żagle wiatr
i wywiezie go z narzeczoną na środek jeziora.
Ona się tuli do niego z nadmiaru radości w sercu,
szepcze o wierności aż do śmierci,
nawet gdyby słońce zaszło za chmury;
on wzruszony, dłoń z siedmioma palcami kładzie na piersi:
„Bądź wola Twoja Wszechmocny Panie, chwalą Cię
gwiazdy i przestworza, niech Cię chwali nasza miłość”.","Тадеуш Хабровський Портрет із сімома пальцями Ідеально вдягнений чоловік (білий комірець, краватка-метелик, квітка в петлиці) тримає в семипалій руці лампочку , у вітальні так світло, що можна роздивитися веснянки на шкірі; якби хтось торкнувся клавіш фортепіано, одізвався б меланхолійний Шопен або радісний Моцарт, побуряковілий від щастя з’явитись на публіці. Чоловік із семипалою рукою щасливий у цьому житті, він віддає світові все, що має, хоча й свідомий своєї убогості; він із формочки для льоду зумів зробити човна, чайну ложку підняв замість щогли і піймав нею вітер який винесе його з нареченою на середину озера. Вона горнеться до нього й серце її переповнене радістю, вона шепоче, що буде йому вірною аж до смерті, навіть якщо сонце зайшло за хмару; він схвильований, семипалу руку кладе на груди: «Нехай буде воля Твоя, Всемогутній Боже, славлять Тебе зорі й небеса, хай прославляє Тебе наше кохання». Tadeusz Chabrowski Portret z siedmioma palcami Mężczyzna w nienagannym stroju  salon zalany jest światłem, można rozpoznać piegi na skórze; gdyby ktoś nacisnął klawisz w fortepianie odezwałby się melancholijny Szopen albo radosny Mozart, purpurowy ze szczęścia przed widownią. Mężczyzna z dłonią z siedmioma palcami jest szczęśliwszy w życiu, rozdaje światu wszystko co ma, choć wie, że sam siebie uboży; potrafi z miseczki na lody zrobić łódkę, z łyżeczki do herbaty wyprofilować maszt, który złapie w żagle wiatr i wywiezie go z narzeczoną na środek jeziora. Ona się tuli do niego z nadmiaru radości w sercu, szepcze o wierności aż do śmierci, nawet gdyby słońce zaszło za chmury; on wzruszony, dłoń z siedmioma palcami kładzie na piersi: „Bądź wola Twoja Wszechmocny Panie, chwalą Cię gwiazdy i przestworza, niech Cię chwali nasza miłość”.","{'body', 'music', 'religion', 'fingers', 'generosity'}",['religion']
11,12,Oleksandr Irvanets,Ukrainian,"3 СІЧНЯ 
***
Рядки мої важкі та кострубаті, 
І сенсу в них не знайдеш ти в момент. 
Так, я служив. Між іншим - у стройбаті. 
Який же я у біса декадент?","3 СІЧНЯ  *** Рядки мої важкі та кострубаті,  І сенсу в них не знайдеш ти в момент.  Так, я служив. Між іншим - у стройбаті.  Який же я у біса декадент?","{'poetry', 'literature', 'meaning', 'language'}","['poetry', 'language']"
