,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng,keyword_eng_theme
0,1,Halyna Kruk,Ukrainian,"***
cказати собі чесно, якомога чесніше,
так ніби уже немає чого втрачати:
ми надто довго жили, покладаючись на інших -
як книжка пише, що люди скажуть,
ми надто звикли до цих вишитих гамівних сорочок,
до цих пишних церковно-гастрономічних обрядів,
до цих дуль у кишені, які часто видаємо за спротив.
сказати собі чітко:
не вистачить сіл і містечок, щоб кожна хата скраю,
не вистачить вояків, щоб по одному виходити в поле,
не вистачить поля, навіть китайок не вистачить, навезених із Китаю.
сказати собі безжально, не ховаючись за плечі інших,
не сягаючи щоразу по славу дідів та пам*ять героїв,
як по хусточку для патріотичних сліз і соплів, не втікаючи у тужливу пісню.
сказати собі:
я – остання буква абетки, без якої мене не буде,
я - остання територія,
я – те, чого я не можу зректися,
я - тесля колоди у власному оці
я не мушу тесати із неї хреста, якщо я не хочу
я не можу віддати того, що мені не належить
я належу до цього народу, я - цей народ
я не хочу, щоб ми довіку ходили такими глухими шляхами,
отже, я починаю від себе - я розорюю межі
я – ми, я-ми, ями","*** cказати собі чесно, якомога чесніше, так ніби уже немає чого втрачати: ми надто довго жили, покладаючись на інших - як книжка пише, що люди скажуть, ми надто звикли до цих вишитих гамівних сорочок, до цих пишних церковно-гастрономічних обрядів, до цих дуль у кишені, які часто видаємо за спротив. сказати собі чітко: не вистачить сіл і містечок, щоб кожна хата скраю, не вистачить вояків, щоб по одному виходити в поле, не вистачить поля, навіть китайок не вистачить, навезених із Китаю. сказати собі безжально, не ховаючись за плечі інших, не сягаючи щоразу по славу дідів та пам*ять героїв, як по хусточку для патріотичних сліз і соплів, не втікаючи у тужливу пісню. сказати собі: я – остання буква абетки, без якої мене не буде, я - остання територія, я – те, чого я не можу зректися, я - тесля колоди у власному оці я не мушу тесати із неї хреста, якщо я не хочу я не можу віддати того, що мені не належить я належу до цього народу, я - цей народ я не хочу, щоб ми довіку ходили такими глухими шляхами, отже, я починаю від себе - я розорюю межі я – ми, я-ми, ями","{'maidan', 'protest', 'revolution', 'ukraine'}","[('покладаючись', 0.3382), ('патріотичних', 0.2455), ('втікаючи', 0.2439), ('хочу', 0.1839), ('містечок', 0.1786)]","['покладаючись', 'патріотичних', 'втікаючи', 'хочу', 'містечок']","['relying on', 'patriotic', 'running away', 'Want', 'small town']","[{'sequence': 'relying on', 'labels': ['maidan', 'family', 'nation'], 'scores': [0.12305205315351486, 0.10531776398420334, 0.0666816458106041]}, {'sequence': 'patriotic', 'labels': ['nation', 'maidan', 'language'], 'scores': [0.4591561555862427, 0.1214393675327301, 0.08682616800069809]}, {'sequence': 'running away', 'labels': ['protest', 'time', 'animal'], 'scores': [0.1631479114294052, 0.15938355028629303, 0.12018370628356934]}, {'sequence': 'Want', 'labels': ['protest', 'maidan', 'language'], 'scores': [0.1297539621591568, 0.11201462894678116, 0.08314479887485504]}, {'sequence': 'small town', 'labels': ['maidan', 'life', 'geography'], 'scores': [0.2456987351179123, 0.15827718377113342, 0.15817879140377045]}]"
1,2,Ostap Slyvynsky,Ukrainian,"ХАЙКУ З МАЙДАНУ
Дим у рукавах.
Ніби йдеш з цими людьми
лісистим хребтом.
*
Такий простий жест:
одне одному мовчки
пообіцяти.
*
Туди, за щити
пустимо качу – хай їм
пливе по тисині.
*
Провалився час.
Жінки несуть вечерю
мужам на мури.
*
Хай тільки нас
не виселять з наших тіл –
ми вистоїмо.","ХАЙКУ З МАЙДАНУ Дим у рукавах. Ніби йдеш з цими людьми лісистим хребтом. * Такий простий жест: одне одному мовчки пообіцяти. * Туди, за щити пустимо качу – хай їм пливе по тисині. * Провалився час. Жінки несуть вечерю мужам на мури. * Хай тільки нас не виселять з наших тіл – ми вистоїмо.","{'haiku', 'protest', 'revolution', 'poetic form', 'maidan'}","[('пообіцяти', 0.4741), ('пустимо', 0.3054), ('вистоїмо', 0.2936), ('лісистим', 0.2847), ('хребтом', 0.2271)]","['пообіцяти', 'пустимо', 'вистоїмо', 'лісистим', 'хребтом']","['to promise', ""let's go"", ""let's stand"", 'wooded', 'spine']","[{'sequence': 'to promise', 'labels': ['language', 'maidan', 'time'], 'scores': [0.2872653603553772, 0.10143814235925674, 0.06584929674863815]}, {'sequence': ""let's go"", 'labels': ['time', 'life', 'language'], 'scores': [0.21661138534545898, 0.1257409006357193, 0.08529472351074219]}, {'sequence': ""let's stand"", 'labels': ['protest', 'time', 'nation'], 'scores': [0.3522397577762604, 0.11887581646442413, 0.08053457736968994]}, {'sequence': 'wooded', 'labels': ['nature', 'language', 'maidan'], 'scores': [0.5490893721580505, 0.06557222455739975, 0.04317203164100647]}, {'sequence': 'spine', 'labels': ['animal', 'nature', 'maidan'], 'scores': [0.4310818314552307, 0.14208805561065674, 0.05569325014948845]}]"
2,3,Osip Mandelstam,Russian,"(О.М.)
Не мучнистой бабочкою белой
В землю я заемный прах верну --
Я хочу, чтоб мыслящее тело
Превратилось в улицу, в страну;
Позвоночное, обугленное тело,
Сознающее свою длину.
Возгласы темно-зеленой хвои,
С глубиной колодезной венки
Тянут жизнь и время дорогое,
Опершись на смертные станки --
Обручи краснознаменной хвои,
Азбучные, крупные венки!
Шли товарищи последнего призыва
По работе в жестких небесах,
Пронесла пехота молчаливо
Восклицанья ружей на плечах.
И зенитных тысячи орудий --
Карих то зрачков иль голубых --
Шли нестройно -- люди, люди, люди,--
Кто же будет продолжать за них?","(О.М.) Не мучнистой бабочкою белой В землю я заемный прах верну -- Я хочу, чтоб мыслящее тело Превратилось в улицу, в страну; Позвоночное, обугленное тело, Сознающее свою длину. Возгласы темно-зеленой хвои, С глубиной колодезной венки Тянут жизнь и время дорогое, Опершись на смертные станки -- Обручи краснознаменной хвои, Азбучные, крупные венки! Шли товарищи последнего призыва По работе в жестких небесах, Пронесла пехота молчаливо Восклицанья ружей на плечах. И зенитных тысячи орудий -- Карих то зрачков иль голубых -- Шли нестройно -- люди, люди, люди,-- Кто же будет продолжать за них?","{'time', 'war', 'twentieth century'}","[('восклицанья', 0.381), ('мыслящее', 0.3004), ('молчаливо', 0.2927), ('позвоночное', 0.2875), ('продолжать', 0.283)]","['восклицанья', 'мыслящее', 'молчаливо', 'позвоночное', 'продолжать']","['exclamations', 'thinking', 'silently', 'vertebrate', 'continue']","[{'sequence': 'exclamations', 'labels': ['language', 'protest', 'time'], 'scores': [0.38348162174224854, 0.1578855663537979, 0.05406763032078743]}, {'sequence': 'thinking', 'labels': ['time', 'maidan', 'family'], 'scores': [0.13226047158241272, 0.12042302638292313, 0.10343992710113525]}, {'sequence': 'silently', 'labels': ['time', 'maidan', 'family'], 'scores': [0.16071048378944397, 0.10812174528837204, 0.08939341455698013]}, {'sequence': 'vertebrate', 'labels': ['animal', 'nature', 'life'], 'scores': [0.475246399641037, 0.23216025531291962, 0.07402254641056061]}, {'sequence': 'continue', 'labels': ['family', 'time', 'life'], 'scores': [0.11006183922290802, 0.10680105537176132, 0.10387644916772842]}]"
3,4,Boris Khersonsky,Russian,"***
""Союз нерушимый"" сыграют и хором споют.
В мире - полный абзац. В доме - полный уют.

В смысле - салат, шпроты, сметанный торт.
Пылесос отработал свое. Вата лежит между рам.
Есть даже снег за окном, что редкость у нас. И черт
с ним - растает, подмерзнет, опять - гололед по утрам.

Меня уложат в полпервого. Какой там сон!
Ходит мышиный король, семь голов, семь корон.
Дядя Леня Бернштейн лабает ""шестнадцать тонн"".

Пары встали из за стола, пытаются танцевать.
Я укрыт с головой. Подрагивает кровать.
Неужели им всем есть о чем подумать и что скрывать?

Левый доход, убеждения, служебный роман -
Жена уже написала в местком-партком.
Доктор энэн имеет доступ к морфию, поэтому - наркоман.

Я наконец засыпаю. Проснусь седым стариком.

Брезжит сквозь щели в ставне отсвет зимнего дня.
Подсыхает кусочек торта, оставленный для меня.
(2010-2011)","*** ""Союз нерушимый"" сыграют и хором споют. В мире - полный абзац. В доме - полный уют.  В смысле - салат, шпроты, сметанный торт. Пылесос отработал свое. Вата лежит между рам. Есть даже снег за окном, что редкость у нас. И черт с ним - растает, подмерзнет, опять - гололед по утрам.  Меня уложат в полпервого. Какой там сон! Ходит мышиный король, семь голов, семь корон. Дядя Леня Бернштейн лабает ""шестнадцать тонн"".  Пары встали из за стола, пытаются танцевать. Я укрыт с головой. Подрагивает кровать. Неужели им всем есть о чем подумать и что скрывать?  Левый доход, убеждения, служебный роман - Жена уже написала в местком-партком. Доктор энэн имеет доступ к морфию, поэтому - наркоман.  Я наконец засыпаю. Проснусь седым стариком.  Брезжит сквозь щели в ставне отсвет зимнего дня. Подсыхает кусочек торта, оставленный для меня. (2010-2011)","{'soviet union', 'anthem', 'morphine', 'food'}","[('проснусь', 0.3366), ('нерушимый', 0.331), ('скрывать', 0.2994), ('подсыхает', 0.2986), ('кусочек', 0.2985)]","['проснусь', 'нерушимый', 'скрывать', 'подсыхает', 'кусочек']","['wake up', 'indestructible', 'hide', 'dries up', 'a piece']","[{'sequence': 'wake up', 'labels': ['time', 'protest', 'life'], 'scores': [0.37131068110466003, 0.13614755868911743, 0.09478013217449188]}, {'sequence': 'indestructible', 'labels': ['maidan', 'nature', 'life'], 'scores': [0.1371118575334549, 0.13091962039470673, 0.11104416102170944]}, {'sequence': 'hide', 'labels': ['time', 'maidan', 'family'], 'scores': [0.11117211729288101, 0.10484220087528229, 0.09301242977380753]}, {'sequence': 'dries up', 'labels': ['time', 'maidan', 'season'], 'scores': [0.24253877997398376, 0.09031697362661362, 0.0809524729847908]}, {'sequence': 'a piece', 'labels': ['maidan', 'time', 'language'], 'scores': [0.13270114362239838, 0.10248550772666931, 0.07310590147972107]}]"
4,5,Oleksandr Irvanets,Ukrainian,"***
Цей рік, який почався з середи - 
Куди він заведе нас всіх, куди? 
Чи буде він прямим, як кочерга? 
Але наступний рік почнеться з четверга...","*** Цей рік, який почався з середи -  Куди він заведе нас всіх, куди?  Чи буде він прямим, як кочерга?  Але наступний рік почнеться з четверга...","{'time', 'new year', 'seasons'}","[('наступний', 0.4395), ('четверга', 0.2653), ('кочерга', 0.2566), ('почнеться', 0.2443), ('прямим', 0.2405)]","['наступний', 'четверга', 'кочерга', 'почнеться', 'прямим']","['following', 'Thursday', 'poker', 'will begin', 'direct']","[{'sequence': 'following', 'labels': ['family', 'time', 'language'], 'scores': [0.12112607806921005, 0.11603859812021255, 0.09735027700662613]}, {'sequence': 'Thursday', 'labels': ['time', 'season', 'life'], 'scores': [0.344619482755661, 0.11825773119926453, 0.07664293795824051]}, {'sequence': 'poker', 'labels': ['gender', 'maidan', 'time'], 'scores': [0.18222513794898987, 0.08973335474729538, 0.0825454518198967]}, {'sequence': 'will begin', 'labels': ['time', 'life', 'language'], 'scores': [0.21587787568569183, 0.14104656875133514, 0.07019010931253433]}, {'sequence': 'direct', 'labels': ['maidan', 'family', 'language'], 'scores': [0.10579157620668411, 0.10252086818218231, 0.08518341183662415]}]"
6,7,Kateryna Kalytko,Ukrainian,"У найпершу ніч льодоставу до тебе прибився,
перейшовши ріку, пес із людською мовою.
Так дивився пильно, покірно лизав правицю
і лишився край тебе жити пітьму зимову.
Піч розпікалася, дим летів до небес,
дім обминали звірі, до живого м’ясива ласі,
ти логічно думала, що він і не надто пес,
надто схожий на всіх, до кого ти не дотяглася.
Найглухішої ночі дерева прийшли до вікон,
мовби тіні тих, кого безнадійно кликано.
І собака сказав: насправді ти не обираєш
ні свого дихання, ні свого чоловіка,
вдихаєш – і видихаєш, доки в світі є місце на видих.
Твій чоловік не полює з усією людською зграєю,
вийде один і дивиться, напівопустивши повіки,
чекаючи чи то поклику, чи твоєї першої хиби.
Хвилина вдивляння буде голодна й гола,
а потім – потім просто бережи своє горло.
Чула цей шум, що вранці до нас долинав із даху?
Вправна кицька собі вполювала птаху
і несла її: горлицю – і за горло.
Повтори це тричі.
Тільки тріпання крилами, вітер фінального відчаю,
ця примарна і предковічна гордість.
Краще я розкажу тобі про міста, по яких
протікають канали, і шерсть на спинах вулиць
диба стає, і як чудернацькі квітки
розпускаються в домі, до якого не повернулися
хазяї зрадливі.
І як рука не тремтить
у мисливця, який полює на звірів і птиць,
вміє їх приманювати їхніми ж голосами,
і колись – на голос – вистрілить в себе сам.
Розкажу, як охоплені жаром благають «Пити!»,
як спивають круки очі полеглих у битві,
льоди річкові проломлюються, мов черепи,
із хрускотом, а зима існує, щоби долюбити,
в холоди мертвотніші пригортатися ще тісніше,
дослухатися, що там коле у грудях із правого
боку.
А собаки найдовше поруч з людьми дишуть,
коли й тих, і тих накриває весняний паводок.","У найпершу ніч льодоставу до тебе прибився, перейшовши ріку, пес із людською мовою. Так дивився пильно, покірно лизав правицю і лишився край тебе жити пітьму зимову. Піч розпікалася, дим летів до небес, дім обминали звірі, до живого м’ясива ласі, ти логічно думала, що він і не надто пес, надто схожий на всіх, до кого ти не дотяглася. Найглухішої ночі дерева прийшли до вікон, мовби тіні тих, кого безнадійно кликано. І собака сказав: насправді ти не обираєш ні свого дихання, ні свого чоловіка, вдихаєш – і видихаєш, доки в світі є місце на видих. Твій чоловік не полює з усією людською зграєю, вийде один і дивиться, напівопустивши повіки, чекаючи чи то поклику, чи твоєї першої хиби. Хвилина вдивляння буде голодна й гола, а потім – потім просто бережи своє горло. Чула цей шум, що вранці до нас долинав із даху? Вправна кицька собі вполювала птаху і несла її: горлицю – і за горло. Повтори це тричі. Тільки тріпання крилами, вітер фінального відчаю, ця примарна і предковічна гордість. Краще я розкажу тобі про міста, по яких протікають канали, і шерсть на спинах вулиць диба стає, і як чудернацькі квітки розпускаються в домі, до якого не повернулися хазяї зрадливі. І як рука не тремтить у мисливця, який полює на звірів і птиць, вміє їх приманювати їхніми ж голосами, і колись – на голос – вистрілить в себе сам. Розкажу, як охоплені жаром благають «Пити!», як спивають круки очі полеглих у битві, льоди річкові проломлюються, мов черепи, із хрускотом, а зима існує, щоби долюбити, в холоди мертвотніші пригортатися ще тісніше, дослухатися, що там коле у грудях із правого боку. А собаки найдовше поруч з людьми дишуть, коли й тих, і тих накриває весняний паводок.","{'death', 'animals', 'winter'}","[('вдихаєш', 0.4907), ('найглухішої', 0.4699), ('напівопустивши', 0.3679), ('насправді', 0.3641), ('льодоставу', 0.3631)]","['вдихаєш', 'найглухішої', 'напівопустивши', 'насправді', 'льодоставу']","['you inhale', 'the deafest', 'half lowered', 'actually', 'ice shelf']","[{'sequence': 'you inhale', 'labels': ['life', 'time', 'maidan'], 'scores': [0.136193186044693, 0.1251991242170334, 0.10714958608150482]}, {'sequence': 'the deafest', 'labels': ['maidan', 'animal', 'protest'], 'scores': [0.18361496925354004, 0.14437052607536316, 0.10118328779935837]}, {'sequence': 'half lowered', 'labels': ['time', 'maidan', 'family'], 'scores': [0.17455431818962097, 0.12869103252887726, 0.07742428034543991]}, {'sequence': 'actually', 'labels': ['family', 'maidan', 'nature'], 'scores': [0.11062140762805939, 0.0969562903046608, 0.08123138546943665]}, {'sequence': 'ice shelf', 'labels': ['nature', 'time', 'season'], 'scores': [0.1829470992088318, 0.12004808336496353, 0.08607003092765808]}]"
7,8,Oleh Kotsarev,Ukrainian,"ПОВЕРНЕННЯ

Місто L – так близько до міста N,
і я знову тут,
і знову не розумію,
що тут, власне, роблю,
знову порожній двір ренесансовий з баштою
і потужні ворони над ними
горохом
зі сходу на захід, із півдня на північ,
чи які ще там бувають напрями.

Мені знову здається, що я не встигаю
за темпом мови
і не зміг розібрати колір очей напевно,
тільки фактуру шкіри,
тільки фактуру стін
і над містом старим повітря
у мить ліхтарів най-найперших.

Я тут можу звернути
на будь-яку вулицю,
попід кожну із цих глазурованих
цукерок-вивісок,
що оманливо видаються такими минущими,
та насправді все вічне
залишається вічним,
як і хворий, що йде вслід за мною
й хоче дзвонити з мого чужого тут телефона,
як і двері, уп’ятеро вищі від мене –
час їх уже неохоче
зачиняти
за
собою,
зачепивши когось рюкзаком ненавмисне.","ПОВЕРНЕННЯ  Місто L – так близько до міста N, і я знову тут, і знову не розумію, що тут, власне, роблю, знову порожній двір ренесансовий з баштою і потужні ворони над ними горохом зі сходу на захід, із півдня на північ, чи які ще там бувають напрями.  Мені знову здається, що я не встигаю за темпом мови і не зміг розібрати колір очей напевно, тільки фактуру шкіри, тільки фактуру стін і над містом старим повітря у мить ліхтарів най-найперших.  Я тут можу звернути на будь-яку вулицю, попід кожну із цих глазурованих цукерок-вивісок, що оманливо видаються такими минущими, та насправді все вічне залишається вічним, як і хворий, що йде вслід за мною й хоче дзвонити з мого чужого тут телефона, як і двері, уп’ятеро вищі від мене – час їх уже неохоче зачиняти за собою, зачепивши когось рюкзаком ненавмисне.","{'', 'city', 'return'}","[('насправді', 0.3842), ('ренесансовий', 0.3441), ('розібрати', 0.3348), ('дзвонити', 0.2799), ('хоче', 0.2569)]","['насправді', 'ренесансовий', 'розібрати', 'дзвонити', 'хоче']","['actually', 'renaissance', 'disassemble', 'call', 'wants']","[{'sequence': 'actually', 'labels': ['family', 'maidan', 'nature'], 'scores': [0.11062140762805939, 0.0969562903046608, 0.08123138546943665]}, {'sequence': 'renaissance', 'labels': ['season', 'life', 'nation'], 'scores': [0.18720592558383942, 0.13923195004463196, 0.12685036659240723]}, {'sequence': 'disassemble', 'labels': ['protest', 'language', 'maidan'], 'scores': [0.23256048560142517, 0.09996873885393143, 0.0957677811384201]}, {'sequence': 'call', 'labels': ['language', 'family', 'protest'], 'scores': [0.29155728220939636, 0.08809400349855423, 0.07231095433235168]}, {'sequence': 'wants', 'labels': ['language', 'protest', 'gender'], 'scores': [0.16667339205741882, 0.1652522087097168, 0.10147564113140106]}]"
8,9,Oleksandr Irvanets,Ukrainian,"В ЄВРОПІ КРАЩЕ, НІЖ У...
***
А все ж таки в Європі, у Європоньці, 
Та трохи краще, ніж сидіти в копанці...","В ЄВРОПІ КРАЩЕ, НІЖ У... *** А все ж таки в Європі, у Європоньці,  Та трохи краще, ніж сидіти в копанці...","{'europe', 'geography'}","[('європоньці', 0.3633), ('краще', 0.262), ('сидіти', 0.1747), ('копанці', 0.1744), ('трохи', 0.1413)]","['європоньці', 'краще', 'сидіти', 'копанці', 'трохи']","['Europeans', 'better', 'sit', 'diggers', 'slightly']","[{'sequence': 'Europeans', 'labels': ['nation', 'family', 'geography'], 'scores': [0.7070019841194153, 0.047716397792100906, 0.028483962640166283]}, {'sequence': 'better', 'labels': ['maidan', 'family', 'time'], 'scores': [0.1300741732120514, 0.11884818971157074, 0.07317052036523819]}, {'sequence': 'sit', 'labels': ['time', 'family', 'language'], 'scores': [0.1842717081308365, 0.09606470912694931, 0.0860121101140976]}, {'sequence': 'diggers', 'labels': ['gender', 'maidan', 'animal'], 'scores': [0.17452946305274963, 0.13412101566791534, 0.13043199479579926]}, {'sequence': 'slightly', 'labels': ['maidan', 'time', 'family'], 'scores': [0.11799196898937225, 0.1148514598608017, 0.08080146461725235]}]"
9,10,Oleksandr Irvanets,Ukrainian,"А ХІБА НІ? 
***
За тиждень цих суцільних вихідних 
Ми встигнемо втомитися від них!..",А ХІБА НІ?  *** За тиждень цих суцільних вихідних  Ми встигнемо втомитися від них!..,"{'time', 'weekend'}","[('встигнемо', 0.419), ('тиждень', 0.3152), ('втомитися', 0.2971), ('хіба', 0.278), ('вихідних', 0.2339)]","['встигнемо', 'тиждень', 'втомитися', 'хіба', 'вихідних']","[""we'll make it"", 'week', 'get tired', 'maybe', 'weekends']","[{'sequence': ""we'll make it"", 'labels': ['life', 'time', 'family'], 'scores': [0.19158466160297394, 0.17608503997325897, 0.11999577283859253]}, {'sequence': 'week', 'labels': ['time', 'season', 'life'], 'scores': [0.4754425883293152, 0.12557972967624664, 0.05437059700489044]}, {'sequence': 'get tired', 'labels': ['time', 'maidan', 'life'], 'scores': [0.2760874032974243, 0.08885156363248825, 0.08366721868515015]}, {'sequence': 'maybe', 'labels': ['maidan', 'family', 'time'], 'scores': [0.11853589862585068, 0.10289011150598526, 0.07937285304069519]}, {'sequence': 'weekends', 'labels': ['time', 'season', 'life'], 'scores': [0.2318512201309204, 0.16752134263515472, 0.0870266780257225]}]"
11,12,Oleksandr Irvanets,Ukrainian,"3 СІЧНЯ 
***
Рядки мої важкі та кострубаті, 
І сенсу в них не знайдеш ти в момент. 
Так, я служив. Між іншим - у стройбаті. 
Який же я у біса декадент?","3 СІЧНЯ  *** Рядки мої важкі та кострубаті,  І сенсу в них не знайдеш ти в момент.  Так, я служив. Між іншим - у стройбаті.  Який же я у біса декадент?","{'literature', 'language', 'meaning', 'poetry'}","[('знайдеш', 0.4633), ('кострубаті', 0.2528), ('стройбаті', 0.2524), ('декадент', 0.1952), ('біса', 0.187)]","['знайдеш', 'кострубаті', 'стройбаті', 'декадент', 'біса']","['you will find', 'kostrubata', 'construction workers', 'decadent', 'hell']","[{'sequence': 'you will find', 'labels': ['life', 'maidan', 'family'], 'scores': [0.11426755040884018, 0.09925015270709991, 0.09245394170284271]}, {'sequence': 'kostrubata', 'labels': ['animal', 'language', 'nature'], 'scores': [0.2853010892868042, 0.1498597115278244, 0.12715503573417664]}, {'sequence': 'construction workers', 'labels': ['maidan', 'gender', 'time'], 'scores': [0.2739129066467285, 0.14765851199626923, 0.1328485757112503]}, {'sequence': 'decadent', 'labels': ['maidan', 'language', 'time'], 'scores': [0.15949270129203796, 0.10885602980852127, 0.09664959460496902]}, {'sequence': 'hell', 'labels': ['death', 'language', 'protest'], 'scores': [0.545376718044281, 0.06940396875143051, 0.05738076567649841]}]"
