,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords
0,1,Halyna Kruk,Ukrainian,"***
cказати собі чесно, якомога чесніше,
так ніби уже немає чого втрачати:
ми надто довго жили, покладаючись на інших -
як книжка пише, що люди скажуть,
ми надто звикли до цих вишитих гамівних сорочок,
до цих пишних церковно-гастрономічних обрядів,
до цих дуль у кишені, які часто видаємо за спротив.
сказати собі чітко:
не вистачить сіл і містечок, щоб кожна хата скраю,
не вистачить вояків, щоб по одному виходити в поле,
не вистачить поля, навіть китайок не вистачить, навезених із Китаю.
сказати собі безжально, не ховаючись за плечі інших,
не сягаючи щоразу по славу дідів та пам*ять героїв,
як по хусточку для патріотичних сліз і соплів, не втікаючи у тужливу пісню.
сказати собі:
я – остання буква абетки, без якої мене не буде,
я - остання територія,
я – те, чого я не можу зректися,
я - тесля колоди у власному оці
я не мушу тесати із неї хреста, якщо я не хочу
я не можу віддати того, що мені не належить
я належу до цього народу, я - цей народ
я не хочу, щоб ми довіку ходили такими глухими шляхами,
отже, я починаю від себе - я розорюю межі
я – ми, я-ми, ями","*** cказати собі чесно, якомога чесніше, так ніби уже немає чого втрачати: ми надто довго жили, покладаючись на інших - як книжка пише, що люди скажуть, ми надто звикли до цих вишитих гамівних сорочок, до цих пишних церковно-гастрономічних обрядів, до цих дуль у кишені, які часто видаємо за спротив. сказати собі чітко: не вистачить сіл і містечок, щоб кожна хата скраю, не вистачить вояків, щоб по одному виходити в поле, не вистачить поля, навіть китайок не вистачить, навезених із Китаю. сказати собі безжально, не ховаючись за плечі інших, не сягаючи щоразу по славу дідів та пам*ять героїв, як по хусточку для патріотичних сліз і соплів, не втікаючи у тужливу пісню. сказати собі: я – остання буква абетки, без якої мене не буде, я - остання територія, я – те, чого я не можу зректися, я - тесля колоди у власному оці я не мушу тесати із неї хреста, якщо я не хочу я не можу віддати того, що мені не належить я належу до цього народу, я - цей народ я не хочу, щоб ми довіку ходили такими глухими шляхами, отже, я починаю від себе - я розорюю межі я – ми, я-ми, ями","{'maidan', 'protest', 'revolution', 'ukraine'}","[('покладаючись', 0.3382), ('патріотичних', 0.2455), ('втікаючи', 0.2439), ('хочу', 0.1839), ('містечок', 0.1786)]"
1,2,Ostap Slyvynsky,Ukrainian,"ХАЙКУ З МАЙДАНУ
Дим у рукавах.
Ніби йдеш з цими людьми
лісистим хребтом.
*
Такий простий жест:
одне одному мовчки
пообіцяти.
*
Туди, за щити
пустимо качу – хай їм
пливе по тисині.
*
Провалився час.
Жінки несуть вечерю
мужам на мури.
*
Хай тільки нас
не виселять з наших тіл –
ми вистоїмо.","ХАЙКУ З МАЙДАНУ Дим у рукавах. Ніби йдеш з цими людьми лісистим хребтом. * Такий простий жест: одне одному мовчки пообіцяти. * Туди, за щити пустимо качу – хай їм пливе по тисині. * Провалився час. Жінки несуть вечерю мужам на мури. * Хай тільки нас не виселять з наших тіл – ми вистоїмо.","{'haiku', 'protest', 'revolution', 'poetic form', 'maidan'}","[('пообіцяти', 0.4741), ('пустимо', 0.3054), ('вистоїмо', 0.2936), ('лісистим', 0.2847), ('хребтом', 0.2271)]"
2,3,Osip Mandelstam,Russian,"(О.М.)
Не мучнистой бабочкою белой
В землю я заемный прах верну --
Я хочу, чтоб мыслящее тело
Превратилось в улицу, в страну;
Позвоночное, обугленное тело,
Сознающее свою длину.
Возгласы темно-зеленой хвои,
С глубиной колодезной венки
Тянут жизнь и время дорогое,
Опершись на смертные станки --
Обручи краснознаменной хвои,
Азбучные, крупные венки!
Шли товарищи последнего призыва
По работе в жестких небесах,
Пронесла пехота молчаливо
Восклицанья ружей на плечах.
И зенитных тысячи орудий --
Карих то зрачков иль голубых --
Шли нестройно -- люди, люди, люди,--
Кто же будет продолжать за них?","(О.М.) Не мучнистой бабочкою белой В землю я заемный прах верну -- Я хочу, чтоб мыслящее тело Превратилось в улицу, в страну; Позвоночное, обугленное тело, Сознающее свою длину. Возгласы темно-зеленой хвои, С глубиной колодезной венки Тянут жизнь и время дорогое, Опершись на смертные станки -- Обручи краснознаменной хвои, Азбучные, крупные венки! Шли товарищи последнего призыва По работе в жестких небесах, Пронесла пехота молчаливо Восклицанья ружей на плечах. И зенитных тысячи орудий -- Карих то зрачков иль голубых -- Шли нестройно -- люди, люди, люди,-- Кто же будет продолжать за них?","{'time', 'war', 'twentieth century'}","[('восклицанья', 0.381), ('мыслящее', 0.3004), ('молчаливо', 0.2927), ('позвоночное', 0.2875), ('продолжать', 0.283)]"
3,4,Boris Khersonsky,Russian,"***
""Союз нерушимый"" сыграют и хором споют.
В мире - полный абзац. В доме - полный уют.

В смысле - салат, шпроты, сметанный торт.
Пылесос отработал свое. Вата лежит между рам.
Есть даже снег за окном, что редкость у нас. И черт
с ним - растает, подмерзнет, опять - гололед по утрам.

Меня уложат в полпервого. Какой там сон!
Ходит мышиный король, семь голов, семь корон.
Дядя Леня Бернштейн лабает ""шестнадцать тонн"".

Пары встали из за стола, пытаются танцевать.
Я укрыт с головой. Подрагивает кровать.
Неужели им всем есть о чем подумать и что скрывать?

Левый доход, убеждения, служебный роман -
Жена уже написала в местком-партком.
Доктор энэн имеет доступ к морфию, поэтому - наркоман.

Я наконец засыпаю. Проснусь седым стариком.

Брезжит сквозь щели в ставне отсвет зимнего дня.
Подсыхает кусочек торта, оставленный для меня.
(2010-2011)","*** ""Союз нерушимый"" сыграют и хором споют. В мире - полный абзац. В доме - полный уют.  В смысле - салат, шпроты, сметанный торт. Пылесос отработал свое. Вата лежит между рам. Есть даже снег за окном, что редкость у нас. И черт с ним - растает, подмерзнет, опять - гололед по утрам.  Меня уложат в полпервого. Какой там сон! Ходит мышиный король, семь голов, семь корон. Дядя Леня Бернштейн лабает ""шестнадцать тонн"".  Пары встали из за стола, пытаются танцевать. Я укрыт с головой. Подрагивает кровать. Неужели им всем есть о чем подумать и что скрывать?  Левый доход, убеждения, служебный роман - Жена уже написала в местком-партком. Доктор энэн имеет доступ к морфию, поэтому - наркоман.  Я наконец засыпаю. Проснусь седым стариком.  Брезжит сквозь щели в ставне отсвет зимнего дня. Подсыхает кусочек торта, оставленный для меня. (2010-2011)","{'soviet union', 'anthem', 'morphine', 'food'}","[('проснусь', 0.3366), ('нерушимый', 0.331), ('скрывать', 0.2994), ('подсыхает', 0.2986), ('кусочек', 0.2985)]"
4,5,Oleksandr Irvanets,Ukrainian,"***
Цей рік, який почався з середи - 
Куди він заведе нас всіх, куди? 
Чи буде він прямим, як кочерга? 
Але наступний рік почнеться з четверга...","*** Цей рік, який почався з середи -  Куди він заведе нас всіх, куди?  Чи буде він прямим, як кочерга?  Але наступний рік почнеться з четверга...","{'time', 'new year', 'seasons'}","[('наступний', 0.4395), ('четверга', 0.2653), ('кочерга', 0.2566), ('почнеться', 0.2443), ('прямим', 0.2405)]"
5,6,Oleksandr Irvanets,Ukrainian,"ВІРШИК НА 1 СІЧНЯ 
(Обережно, жорстка лексика!)
***
Здрастуй, Дєдушка Бодун, 
Борода із вати! 
На сніданок не піду, 
А піду блю....","ВІРШИК НА 1 СІЧНЯ  (Обережно, жорстка лексика!) *** Здрастуй, Дєдушка Бодун,  Борода із вати!  На сніданок не піду,  А піду блю....","{'grandpa bodun', 'family'}","[('сніданок', 0.3952), ('віршик', 0.3494), ('дєдушка', 0.3487), ('здрастуй', 0.346), ('лексика', 0.3322)]"
6,7,Kateryna Kalytko,Ukrainian,"У найпершу ніч льодоставу до тебе прибився,
перейшовши ріку, пес із людською мовою.
Так дивився пильно, покірно лизав правицю
і лишився край тебе жити пітьму зимову.
Піч розпікалася, дим летів до небес,
дім обминали звірі, до живого м’ясива ласі,
ти логічно думала, що він і не надто пес,
надто схожий на всіх, до кого ти не дотяглася.
Найглухішої ночі дерева прийшли до вікон,
мовби тіні тих, кого безнадійно кликано.
І собака сказав: насправді ти не обираєш
ні свого дихання, ні свого чоловіка,
вдихаєш – і видихаєш, доки в світі є місце на видих.
Твій чоловік не полює з усією людською зграєю,
вийде один і дивиться, напівопустивши повіки,
чекаючи чи то поклику, чи твоєї першої хиби.
Хвилина вдивляння буде голодна й гола,
а потім – потім просто бережи своє горло.
Чула цей шум, що вранці до нас долинав із даху?
Вправна кицька собі вполювала птаху
і несла її: горлицю – і за горло.
Повтори це тричі.
Тільки тріпання крилами, вітер фінального відчаю,
ця примарна і предковічна гордість.
Краще я розкажу тобі про міста, по яких
протікають канали, і шерсть на спинах вулиць
диба стає, і як чудернацькі квітки
розпускаються в домі, до якого не повернулися
хазяї зрадливі.
І як рука не тремтить
у мисливця, який полює на звірів і птиць,
вміє їх приманювати їхніми ж голосами,
і колись – на голос – вистрілить в себе сам.
Розкажу, як охоплені жаром благають «Пити!»,
як спивають круки очі полеглих у битві,
льоди річкові проломлюються, мов черепи,
із хрускотом, а зима існує, щоби долюбити,
в холоди мертвотніші пригортатися ще тісніше,
дослухатися, що там коле у грудях із правого
боку.
А собаки найдовше поруч з людьми дишуть,
коли й тих, і тих накриває весняний паводок.","У найпершу ніч льодоставу до тебе прибився, перейшовши ріку, пес із людською мовою. Так дивився пильно, покірно лизав правицю і лишився край тебе жити пітьму зимову. Піч розпікалася, дим летів до небес, дім обминали звірі, до живого м’ясива ласі, ти логічно думала, що він і не надто пес, надто схожий на всіх, до кого ти не дотяглася. Найглухішої ночі дерева прийшли до вікон, мовби тіні тих, кого безнадійно кликано. І собака сказав: насправді ти не обираєш ні свого дихання, ні свого чоловіка, вдихаєш – і видихаєш, доки в світі є місце на видих. Твій чоловік не полює з усією людською зграєю, вийде один і дивиться, напівопустивши повіки, чекаючи чи то поклику, чи твоєї першої хиби. Хвилина вдивляння буде голодна й гола, а потім – потім просто бережи своє горло. Чула цей шум, що вранці до нас долинав із даху? Вправна кицька собі вполювала птаху і несла її: горлицю – і за горло. Повтори це тричі. Тільки тріпання крилами, вітер фінального відчаю, ця примарна і предковічна гордість. Краще я розкажу тобі про міста, по яких протікають канали, і шерсть на спинах вулиць диба стає, і як чудернацькі квітки розпускаються в домі, до якого не повернулися хазяї зрадливі. І як рука не тремтить у мисливця, який полює на звірів і птиць, вміє їх приманювати їхніми ж голосами, і колись – на голос – вистрілить в себе сам. Розкажу, як охоплені жаром благають «Пити!», як спивають круки очі полеглих у битві, льоди річкові проломлюються, мов черепи, із хрускотом, а зима існує, щоби долюбити, в холоди мертвотніші пригортатися ще тісніше, дослухатися, що там коле у грудях із правого боку. А собаки найдовше поруч з людьми дишуть, коли й тих, і тих накриває весняний паводок.","{'death', 'animals', 'winter'}","[('вдихаєш', 0.4907), ('найглухішої', 0.4699), ('напівопустивши', 0.3679), ('насправді', 0.3641), ('льодоставу', 0.3631)]"
7,8,Oleh Kotsarev,Ukrainian,"ПОВЕРНЕННЯ

Місто L – так близько до міста N,
і я знову тут,
і знову не розумію,
що тут, власне, роблю,
знову порожній двір ренесансовий з баштою
і потужні ворони над ними
горохом
зі сходу на захід, із півдня на північ,
чи які ще там бувають напрями.

Мені знову здається, що я не встигаю
за темпом мови
і не зміг розібрати колір очей напевно,
тільки фактуру шкіри,
тільки фактуру стін
і над містом старим повітря
у мить ліхтарів най-найперших.

Я тут можу звернути
на будь-яку вулицю,
попід кожну із цих глазурованих
цукерок-вивісок,
що оманливо видаються такими минущими,
та насправді все вічне
залишається вічним,
як і хворий, що йде вслід за мною
й хоче дзвонити з мого чужого тут телефона,
як і двері, уп’ятеро вищі від мене –
час їх уже неохоче
зачиняти
за
собою,
зачепивши когось рюкзаком ненавмисне.","ПОВЕРНЕННЯ  Місто L – так близько до міста N, і я знову тут, і знову не розумію, що тут, власне, роблю, знову порожній двір ренесансовий з баштою і потужні ворони над ними горохом зі сходу на захід, із півдня на північ, чи які ще там бувають напрями.  Мені знову здається, що я не встигаю за темпом мови і не зміг розібрати колір очей напевно, тільки фактуру шкіри, тільки фактуру стін і над містом старим повітря у мить ліхтарів най-найперших.  Я тут можу звернути на будь-яку вулицю, попід кожну із цих глазурованих цукерок-вивісок, що оманливо видаються такими минущими, та насправді все вічне залишається вічним, як і хворий, що йде вслід за мною й хоче дзвонити з мого чужого тут телефона, як і двері, уп’ятеро вищі від мене – час їх уже неохоче зачиняти за собою, зачепивши когось рюкзаком ненавмисне.","{'', 'city', 'return'}","[('насправді', 0.3842), ('ренесансовий', 0.3441), ('розібрати', 0.3348), ('дзвонити', 0.2799), ('хоче', 0.2569)]"
8,9,Oleksandr Irvanets,Ukrainian,"В ЄВРОПІ КРАЩЕ, НІЖ У...
***
А все ж таки в Європі, у Європоньці, 
Та трохи краще, ніж сидіти в копанці...","В ЄВРОПІ КРАЩЕ, НІЖ У... *** А все ж таки в Європі, у Європоньці,  Та трохи краще, ніж сидіти в копанці...","{'europe', 'geography'}","[('європоньці', 0.3633), ('краще', 0.262), ('сидіти', 0.1747), ('копанці', 0.1744), ('трохи', 0.1413)]"
9,10,Oleksandr Irvanets,Ukrainian,"А ХІБА НІ? 
***
За тиждень цих суцільних вихідних 
Ми встигнемо втомитися від них!..",А ХІБА НІ?  *** За тиждень цих суцільних вихідних  Ми встигнемо втомитися від них!..,"{'time', 'weekend'}","[('встигнемо', 0.419), ('тиждень', 0.3152), ('втомитися', 0.2971), ('хіба', 0.278), ('вихідних', 0.2339)]"
